Graph,Algorithm,Max threads,median,std
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin AL,10,3796813.6362305,251417.80874209007
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin AL,12,3411678.503906,233679.45300852097
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin AL,14,3216950.6128995,249563.8236441292
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin AL,16,3048239.706146,209451.95963942207
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin AL,18,2797601.984375,224542.3256818942
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin AL,20,2713126.540009,260403.61148945053
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin AL,22,2481852.75,273946.6989938748
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin AL,24,2609643.809937,433466.55258986464
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin AL,26,2355278.7553709997,544615.8637258755
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin AL,28,2286151.489319,452278.7519037696
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin AL,30,2166994.301514,355120.67474468827
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin AL,32,2234525.969116,673859.2036798694
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,1,1540023.2292479998,348975.48420231265
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,2,1839514.791504,224188.85841436093
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,4,1353848.5887449998,201256.0066073673
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,6,1097073.969727,132764.6339147596
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,8,910552.20752,102278.20114331032
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,10,729033.227539,49005.419410768
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,12,683674.617188,73293.27779628278
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,14,634925.0218509999,117421.2432603324
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,16,617878.231079,88707.00722130183
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,18,609659.2888185,69587.13312324735
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,20,606958.22229,103450.39768696898
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,22,592687.5114745,81128.04498483546
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,24,667207.515991,120153.51588221271
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,26,599420.6290284999,97420.7621388956
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,28,629617.2270505,119266.08655541758
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,30,583173.7579345,103926.26612209623
"('Erdos-Renyi random p=0.002000', 50000)",parallel sollin FAL,32,595067.302734,115911.03891325921
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,1,1391605.14209,3708278.2604431687
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,2,1292053.641846,380791.34965731954
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,4,943115.8969729999,434779.7537555328
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,6,573785.921387,213789.16246135117
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,8,263913.908325,231181.26571451084
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,10,461957.33801300003,262111.08800276657
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,12,508562.06665,167898.7419288216
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,14,476417.812988,210173.63326221317
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,16,407383.25170900003,195519.7636770406
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,18,287112.33313000004,142877.71659586593
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,20,436785.996338,129773.18708364938
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,22,477083.515747,128247.34709168933
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,24,414815.989868,172318.76729041728
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,26,437570.653687,276164.0461151998
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,28,418938.472656,377847.20919282583
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,30,450598.18933100003,209863.3628701363
"('Erdos-Renyi random p=0.200000', 10000)",Filter Kruskal,32,279253.427368,191999.80688024088
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,1,1417532.0042110002,157273.79330393273
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,2,1427978.3239135002,447630.2368122498
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,4,1210370.665405,986353.3861551828
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,6,1030736.085449,635241.0807525314
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,8,768774.767273,264406.72312082036
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,10,718863.020126,224303.811029498
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,12,530545.0192110001,324524.38269843813
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,14,480601.3347775,183987.6512017364
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,16,433737.24029549997,180085.56383312048
"('Erdos-Renyi random p=0.200000', 10000)",Filter Sollin,18,423492.010498,75946.3174690362
