Graph,Algorithm,Max threads,median,std
"('Erdos-Renyi random p=0.100000', 10000)",Filter Kruskal,32,4.48906898129318,1.159712464461653
"('Erdos-Renyi random p=0.100000', 10000)",Filter Sollin,1,1.0001881328745021,0.26360934371844286
"('Erdos-Renyi random p=0.100000', 10000)",Filter Sollin,2,1.5325499046224345,0.8434489646999402
"('Erdos-Renyi random p=0.100000', 10000)",Filter Sollin,4,2.3979130366502086,1.5528750741282227
"('Erdos-Renyi random p=0.100000', 10000)",Filter Sollin,8,0.15432659993602962,0.9707140782476222
"('Erdos-Renyi random p=0.100000', 10000)",Filter Sollin,16,0.15532919604561812,0.46644873002309106
"('Erdos-Renyi random p=0.100000', 10000)",Filter Sollin,32,0.18091710074558592,2.421111674838194
"('Erdos-Renyi random p=0.100000', 10000)",Sequential Kruskal,1,1.000003568014317,0.05818168064863217
"('Erdos-Renyi random p=0.100000', 10000)",Sequential Kruskal,2,1.1355801963967764,0.06711965615883156
"('Erdos-Renyi random p=0.100000', 10000)",Sequential Kruskal,4,1.293026770003383,0.04770481288056289
"('Erdos-Renyi random p=0.100000', 10000)",Sequential Kruskal,8,1.0519482324046951,0.17849415222651802
"('Erdos-Renyi random p=0.100000', 10000)",Sequential Kruskal,16,1.3895288902249372,0.08636673466351517
"('Erdos-Renyi random p=0.100000', 10000)",Sequential Kruskal,32,1.4290818462936223,0.21312424614254263
"('Erdos-Renyi random p=0.100000', 10000)",parallel sollin FAL,1,1.0000010236294545,0.10367641012231636
"('Erdos-Renyi random p=0.100000', 10000)",parallel sollin FAL,2,1.3630789076788412,0.5087805007818478
"('Erdos-Renyi random p=0.100000', 10000)",parallel sollin FAL,4,0.611592453221879,1.014413442134467
"('Erdos-Renyi random p=0.100000', 10000)",parallel sollin FAL,8,0.658932953185989,1.481539929183386
"('Erdos-Renyi random p=0.100000', 10000)",parallel sollin FAL,16,0.5765682848685993,1.8625056402099458
"('Erdos-Renyi random p=0.100000', 10000)",parallel sollin FAL,32,0.7923101331694407,2.4215471138868705
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Kruskal,1,1.000725033645454,0.03476713049053562
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Kruskal,2,0.9963613480681794,0.024655349775179893
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Kruskal,4,1.0121316263457754,0.026978725508795376
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Kruskal,8,1.0102443232835827,0.025134145048933822
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Kruskal,16,0.9968613610247794,0.018466116262882557
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Kruskal,32,0.9989345665969167,0.1634926574875256
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Prim,1,1.011252760304374,0.15878888026155877
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Prim,2,1.0135783114828083,0.14487103030062617
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Prim,4,0.9719202919503507,0.11219344587475347
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Prim,8,1.0035089857394426,0.11357441587084881
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Prim,16,1.015922776416379,0.12443741232393363
"('Preferential attachment 1000 edges per vertice', 10000)",Boost Prim,32,1.0172451288194067,0.11806379941978218
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Kruskal,1,1.000097781187485,0.17418269099892203
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Kruskal,2,1.626863902204537,0.2472258016123427
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Kruskal,4,2.669168897994151,0.5213238240628324
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Kruskal,8,5.3584384443957305,0.9757941767384568
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Kruskal,16,5.744728593745171,1.1081099867563495
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Kruskal,32,5.632297948930049,1.497976882732951
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Sollin,1,1.0017228872948014,0.25662646877375594
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Sollin,2,1.4135923461181041,0.4970158744445962
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Sollin,4,0.18208897784079392,0.7413759314973128
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Sollin,8,0.20731809054485556,0.7631085681808856
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Sollin,16,0.11833241547219361,0.21728931200211846
"('Preferential attachment 1000 edges per vertice', 10000)",Filter Sollin,32,0.252884631205322,1.1187859874220771
"('Preferential attachment 1000 edges per vertice', 10000)",Sequential Kruskal,1,1.0011975847711838,0.04598465344583368
"('Preferential attachment 1000 edges per vertice', 10000)",Sequential Kruskal,2,1.1025511246985262,0.07533545203923403
"('Preferential attachment 1000 edges per vertice', 10000)",Sequential Kruskal,4,1.285193385664654,0.08344508106786278
"('Preferential attachment 1000 edges per vertice', 10000)",Sequential Kruskal,8,1.3965662157174168,0.08347203681909869
"('Preferential attachment 1000 edges per vertice', 10000)",Sequential Kruskal,16,1.0707148109534599,0.1982858985188803
