Filter Kruskal,24,Preferential attachment 50 edges per vertice,50000,0.6775047265513161
Filter Kruskal,24,USA-road-d.,264346,-1.311357071967485
Filter Kruskal,24,USA-road-d.,321270,-1.335191933740783
Filter Kruskal,26,Erdos-Renyi random p=0.002000,50000,0.6784354610151284
Filter Kruskal,26,Erdos-Renyi random p=0.200000,10000,0.8480861779321927
Filter Kruskal,26,Preferential attachment 1000 edges per vertice,10000,0.7875497262110548
Filter Kruskal,26,Preferential attachment 50 edges per vertice,50000,0.6603675596545813
Filter Kruskal,26,USA-road-d.,264346,-1.3270638988820993
Filter Kruskal,26,USA-road-d.,321270,-1.4958231329358895
Filter Kruskal,28,Erdos-Renyi random p=0.002000,50000,0.6611824266676465
Filter Kruskal,28,Erdos-Renyi random p=0.200000,10000,0.8490761413225232
Filter Kruskal,28,Preferential attachment 1000 edges per vertice,10000,0.7786572409018087
Filter Kruskal,28,Preferential attachment 50 edges per vertice,50000,0.6400295374136806
Filter Kruskal,28,USA-road-d.,264346,-1.6935130737518045
Filter Kruskal,28,USA-road-d.,321270,-1.654242695940518
Filter Kruskal,30,Erdos-Renyi random p=0.002000,50000,0.6358634148840826
Filter Kruskal,30,Erdos-Renyi random p=0.200000,10000,0.8459629394027433
Filter Kruskal,30,Preferential attachment 1000 edges per vertice,10000,0.7401555127032531
Filter Kruskal,30,Preferential attachment 50 edges per vertice,50000,0.6257641697245507
Filter Kruskal,30,USA-road-d.,264346,-1.957019280750535
Filter Kruskal,30,USA-road-d.,321270,-1.8871259198311905
Filter Kruskal,32,Erdos-Renyi random p=0.002000,50000,0.5687680388247649
Filter Kruskal,32,Erdos-Renyi random p=0.200000,10000,0.8513459779623853
Filter Kruskal,32,Preferential attachment 1000 edges per vertice,10000,0.7819577949505939
Filter Kruskal,32,Preferential attachment 50 edges per vertice,50000,0.5542275469063467
Filter Kruskal,32,USA-road-d.,264346,-2.979004226555213
Filter Kruskal,32,USA-road-d.,321270,-2.8159832863440073
Filter Sollin,1,Erdos-Renyi random p=0.002000,50000,0.0
Filter Sollin,1,Erdos-Renyi random p=0.200000,10000,0.0
Filter Sollin,1,Preferential attachment 1000 edges per vertice,10000,0.0
Filter Sollin,1,Preferential attachment 50 edges per vertice,50000,0.0
Filter Sollin,1,USA-road-d.,264346,0.0
Filter Sollin,1,USA-road-d.,321270,0.0
Filter Sollin,2,Erdos-Renyi random p=0.002000,50000,-0.4747467894651831
Filter Sollin,2,Erdos-Renyi random p=0.200000,10000,-0.014738630191339475
Filter Sollin,2,Preferential attachment 1000 edges per vertice,10000,0.03789973839370431
Filter Sollin,2,Preferential attachment 50 edges per vertice,50000,0.017609028763877488
Filter Sollin,2,USA-road-d.,264346,0.4323138988963944
Filter Sollin,2,USA-road-d.,321270,0.49698259687072643
Filter Sollin,4,Erdos-Renyi random p=0.002000,50000,-0.1912795139398762
Filter Sollin,4,Erdos-Renyi random p=0.200000,10000,0.19489400789389666
Filter Sollin,4,Preferential attachment 1000 edges per vertice,10000,-0.06604760225767925
Filter Sollin,4,Preferential attachment 50 edges per vertice,50000,0.2037203742015503
Filter Sollin,4,USA-road-d.,264346,0.32204791770179286
Filter Sollin,4,USA-road-d.,321270,0.3903995137317452
Filter Sollin,6,Erdos-Renyi random p=0.002000,50000,0.0893240436275915
Filter Sollin,6,Erdos-Renyi random p=0.200000,10000,0.32743888754226
Filter Sollin,6,Preferential attachment 1000 edges per vertice,10000,0.15287192978425335
Filter Sollin,6,Preferential attachment 50 edges per vertice,50000,0.14882358109508798
Filter Sollin,6,USA-road-d.,264346,0.18185316927067086
Filter Sollin,6,USA-road-d.,321270,0.24945864392887196
Filter Sollin,8,Erdos-Renyi random p=0.002000,50000,0.24006134644866806
Filter Sollin,8,Erdos-Renyi random p=0.200000,10000,0.5230476913482754
Filter Sollin,8,Preferential attachment 1000 edges per vertice,10000,0.15268135530144655
Filter Sollin,8,Preferential attachment 50 edges per vertice,50000,0.21399434142249962
Filter Sollin,8,USA-road-d.,264346,0.1272361419119793
Filter Sollin,8,USA-road-d.,321270,0.13281543774112736
Filter Sollin,10,Erdos-Renyi random p=0.002000,50000,0.3632369043481225
Filter Sollin,10,Erdos-Renyi random p=0.200000,10000,0.5476411600580717
Filter Sollin,10,Preferential attachment 1000 edges per vertice,10000,0.2626109821263307
